run,cell,index_under_test,side,batch,target_logs_s,drain_filter,rows_before,accepted,logs_s,shed,ingest_p95_ms,read_pages_s,page_p50_ms,page_p95_ms,wal_bytes_per_row,index_mb,pg_cpu_avg,pg_cpu_max,api_cpu_avg,errors,read_errors,status
baseline-run1,screen,both,baseline,33,15000,none,0,1349964,14992.1,0,470.8,20.25,18.8,85.6,699.9,214.0,78.4,99.2,46.8,0,0,screen
baseline-run2,screen,both,baseline,33,15000,none,0,1349964,14948.6,0,572.2,19.53,19.6,88.8,699.9,213.8,77.0,98.9,47.0,0,0,screen
baseline-run3,screen,both,baseline,33,15000,none,0,1349931,14989.1,0,498.4,19.78,21.4,89.3,699.6,213.5,79.6,101.0,46.8,0,0,screen
dropped-run1,screen,both,dropped,33,15000,none,0,1349964,14997.3,0,337.7,21.47,16.7,86.0,305.8,40.7,55.1,78.9,47.2,0,0,screen
dropped-run2,screen,both,dropped,33,15000,none,0,1349931,14962.3,0,368.2,20.15,18.0,89.9,305.6,40.9,54.3,100.7,47.4,0,0,screen
dropped-run3,screen,both,dropped,33,15000,none,0,1349931,14992.1,0,331.7,22.76,16.2,82.5,305.8,40.6,54.2,93.0,46.7,0,0,screen
R1-baseline-run1,R1,service,baseline,33,15000,service=checkout,0,1339734,14877.2,310,832.0,13.08,26.6,179.0,700.6,212.8,77.3,103.3,46.6,0,0,verified
R1-baseline-run2,R1,service,baseline,33,15000,service=checkout,0,1335510,14834.7,438,709.8,12.61,34.7,157.3,700.5,212.0,77.2,103.9,46.4,0,0,verified
R1-baseline-run3,R1,service,baseline,33,15000,service=checkout,0,1342110,14904.4,237,663.6,12.9,32.7,168.1,701.1,214.0,77.1,104.3,46.7,0,0,verified
R1-dropped-run1,R1,service,dropped,33,15000,service=checkout,0,1334685,14820,463,703.6,13.31,27.2,181.7,570.1,97.6,76.8,107.0,46.3,0,0,verified
R1-dropped-run2,R1,service,dropped,33,15000,service=checkout,0,1326369,14726.3,715,699.2,12.42,30.4,171.1,570.4,97.1,75.7,103.0,46.0,0,0,verified
R1-dropped-run3,R1,service,dropped,33,15000,service=checkout,0,1329504,14759.9,620,649.5,14.42,21.7,173.9,570.5,97.2,76.6,102.2,46.3,0,0,verified
R2-baseline-run1,R2,gin,baseline,33,15000,attr.trace_id,0,1349964,14998.5,0,353.4,98.96,2.5,33.4,700.9,214.6,74.7,105.3,46.7,0,0,verified
R2-baseline-run2,R2,gin,baseline,33,15000,attr.trace_id,0,1349898,14994.8,0,363.0,98.84,2.4,33.9,700.9,214.5,70.8,101.4,46.3,0,0,verified
R2-baseline-run3,R2,gin,baseline,33,15000,attr.trace_id,0,1349931,14993,0,478.1,80.79,2.7,41.7,0.0,0.0,79.0,98.4,50.7,0,0,verified
R2-dropped-run1,R2,gin,dropped,33,15000,attr.trace_id,0,1338579,14863.9,345,858.8,4.19,106.7,408.0,436.2,155.3,80.4,105.5,41.3,0,0,verified
R2-dropped-run2,R2,gin,dropped,33,15000,attr.trace_id,0,1333200,14796.7,508,1004.1,3.98,110.6,413.7,436.0,154.6,78.2,106.3,43.1,0,0,verified
R2-dropped-run3,R2,gin,dropped,33,15000,attr.trace_id,0,1337193,14853.3,387,668.7,4.51,106.1,383.5,436.1,154.9,78.7,104.2,41.4,0,0,verified
b200-baseline-run1,S1,service,baseline,200,45000,none,0,2047600,22221.6,0,2600.9,11.29,33.6,189.1,710.6,309.1,72.1,99.3,47.5,10011,0,verified
b200-baseline-run2,S1,service,baseline,200,45000,none,0,2184800,23872.8,0,2334.7,11.83,28.1,188.1,709.2,331.7,75.2,100.9,46.9,9325,0,verified
b200-baseline-run3,S1,service,baseline,200,45000,none,0,2260200,24724,0,2258.8,15.17,20.9,137.2,707.4,343.1,73.7,98.4,46.5,8948,0,verified
b200-dropped-run1,S1,service,dropped,200,45000,none,0,2677600,29461.8,0,1862.4,11.41,31.0,199.6,577.1,198.4,72.9,99.0,47.2,6861,0,verified
b200-dropped-run2,S1,service,dropped,200,45000,none,0,2787800,30678.5,0,1828.4,12.85,23.8,176.8,575.3,205.5,73.5,98.0,47.0,6310,0,verified
b200-dropped-run3,S1,service,dropped,200,45000,none,0,2590400,28433.9,0,2032.6,13.68,16.7,185.6,577.6,191.9,69.4,98.8,47.0,7294,0,verified
b33-baseline-run1,S1,service,baseline,33,30000,none,0,2091705,23072.5,18414,1024.8,16.47,17.1,117.7,709.8,327.2,73.2,99.7,44.9,0,0,verified
b33-baseline-run2,S1,service,baseline,33,30000,none,0,2066130,22836.3,19206,935.1,16.58,16.7,114.1,710.6,323.0,80.5,100.3,46.8,0,0,verified
b33-baseline-run3,S1,service,baseline,33,30000,none,0,2059002,22746.7,19423,984.3,13.46,32.4,137.6,710.5,322.4,73.5,101.1,45.8,0,0,verified
b33-dropped-run1,S1,service,dropped,33,30000,none,0,2402103,26622.4,9026,789.7,14.04,31.3,122.7,579.9,174.8,72.7,100.3,45.4,0,0,verified
b33-dropped-run2,S1,service,dropped,33,30000,none,0,2203707,24319.6,15037,944.2,13.15,24.2,157.7,582.7,160.5,68.8,102.0,45.9,0,0,verified
b33-dropped-run3,S1,service,dropped,33,30000,none,0,2369070,26251.7,10027,789.6,13.01,35.9,153.6,581.2,175.2,71.9,100.6,46.6,0,0,verified
